"lsoa11cd","CAUTH18NM","lsoa11nm","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"E01010568","West Yorkshire","Bradford 016A",2,NA,5,NA,NA,3,2,3,1,3,1,1,1,2,2,4,2,NA,5,2,4,3,3,3,2,2,2,2,2,1,2,5,1,4,NA,3,2,1,3,NA,1,1,2,1,3,2,5,3,3,1,2,NA,NA,2,1,2,NA,3,NA,NA,3,NA,1,2,NA,1,1,3,2,2,2,NA,1,2,NA,1,NA,2,NA,4,1,2,2,1,1,1,3,1,2,2,2,1,1,1,NA,1
"E01010569","West Yorkshire","Bradford 016B",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,1,1,NA,NA,1,NA,NA,NA,1,1,NA,4,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,1,1,1,NA,NA,1,NA,NA,NA,2,1,NA,1,NA,NA
"E01010570","West Yorkshire","Bradford 018A",11,11,7,7,4,9,7,6,2,7,5,4,3,6,6,6,3,8,6,6,4,11,3,5,7,7,11,6,4,7,9,8,6,3,13,10,6,5,2,8,1,4,5,3,1,6,7,9,6,12,5,4,2,3,3,3,2,4,3,6,1,2,5,5,2,3,6,9,3,4,3,3,2,2,4,3,9,5,8,8,4,8,8,4,7,6,10,7,2,6,9,4,4,5,10,5
"E01010571","West Yorkshire","Bradford 016C",NA,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,1,1,1,1,2,NA,1,1,NA,NA,2,NA,2,NA,2,1,NA,1,1,4,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"E01010572","West Yorkshire","Bradford 016D",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,1,1,NA,1,2,1,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,2,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,NA
"E01010573","West Yorkshire","Bradford 013A",NA,NA,3,2,NA,NA,1,NA,1,6,3,5,NA,2,3,3,1,6,NA,5,1,4,4,3,2,3,1,4,2,5,3,13,2,6,4,4,4,6,3,2,4,5,2,3,4,6,4,8,2,6,3,4,NA,2,1,1,2,1,NA,6,4,5,2,6,NA,9,3,3,3,5,7,6,2,6,3,13,7,4,2,1,2,5,4,4,3,4,3,2,2,NA,5,2,4,1,6,4
"E01010574","West Yorkshire","Bradford 013B",1,3,1,2,1,4,3,7,6,8,8,3,1,4,2,1,5,7,5,8,7,10,7,3,2,3,3,7,3,4,2,7,2,3,6,2,1,11,3,2,2,2,2,6,5,3,4,7,3,5,5,2,2,2,NA,5,1,2,2,1,NA,1,1,3,NA,1,4,NA,NA,1,NA,1,2,7,1,1,1,6,3,4,3,2,3,5,3,5,3,3,2,5,NA,2,2,3,4,4
"E01010575","West Yorkshire","Bradford 013C",1,NA,NA,2,1,4,7,8,3,5,2,6,3,NA,NA,2,NA,1,NA,1,4,2,NA,NA,1,NA,NA,NA,3,3,2,1,2,2,3,2,4,2,NA,3,2,3,3,2,1,7,1,3,NA,1,4,2,NA,NA,NA,1,2,NA,NA,3,NA,3,1,1,NA,1,NA,2,NA,NA,1,2,1,1,1,3,NA,5,1,NA,2,1,3,1,1,2,1,3,NA,2,1,4,NA,NA,7,2
"E01010576","West Yorkshire","Bradford 016E",4,5,1,5,2,10,6,13,2,8,6,5,5,2,8,4,NA,1,6,7,4,6,1,4,NA,6,2,4,4,8,9,3,4,4,3,6,2,6,4,3,2,6,2,NA,4,6,4,2,1,7,3,4,2,4,3,NA,NA,2,2,2,2,2,4,1,NA,1,NA,2,NA,3,2,1,1,2,4,3,2,2,5,2,2,2,4,3,4,4,2,6,3,4,3,1,2,1,3,2
"E01010577","West Yorkshire","Bradford 013D",3,NA,1,2,NA,1,2,2,NA,2,2,2,1,1,5,1,1,2,2,2,1,1,NA,2,3,3,2,1,4,5,5,1,2,1,2,3,3,2,4,2,NA,3,1,4,NA,3,NA,3,4,1,3,NA,NA,1,1,1,2,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,1,3,NA,NA,3,3,1,NA,4,2,1,1,1,2,1,NA,4,6,NA,2,NA,NA,1
