"lsoa11cd","CAUTH18NM","lsoa11nm","median_95Q1","median_95Q2","median_95Q3","median_95Q4","median_96Q1","median_96Q2","median_96Q3","median_96Q4","median_97Q1","median_97Q2","median_97Q3","median_97Q4","median_98Q1","median_98Q2","median_98Q3","median_98Q4","median_99Q1","median_99Q2","median_99Q3","median_99Q4","median_00Q1","median_00Q2","median_00Q3","median_00Q4","median_01Q1","median_01Q2","median_01Q3","median_01Q4","median_02Q1","median_02Q2","median_02Q3","median_02Q4","median_03Q1","median_03Q2","median_03Q3","median_03Q4","median_04Q1","median_04Q2","median_04Q3","median_04Q4","median_05Q1","median_05Q2","median_05Q3","median_05Q4","median_06Q1","median_06Q2","median_06Q3","median_06Q4","median_07Q1","median_07Q2","median_07Q3","median_07Q4","median_08Q1","median_08Q2","median_08Q3","median_08Q4","median_09Q1","median_09Q2","median_09Q3","median_09Q4","median_10Q1","median_10Q2","median_10Q3","median_10Q4","median_11Q1","median_11Q2","median_11Q3","median_11Q4","median_12Q1","median_12Q2","median_12Q3","median_12Q4","median_13Q1","median_13Q2","median_13Q3","median_13Q4","median_14Q1","median_14Q2","median_14Q3","median_14Q4","median_15Q1","median_15Q2","median_15Q3","median_15Q4","median_16Q1","median_16Q2","median_16Q3","median_16Q4","median_17Q1","median_17Q2","median_17Q3","median_17Q4","median_18Q1","median_18Q2","median_18Q3","median_18Q4"
"E01010568","West Yorkshire","Bradford 016A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186500,NA,NA,199950,121950,119950,NA,320000,NA,NA,NA,NA,NA,335000,NA,NA,NA,NA,NA,NA,NA,354950,385000,NA,3e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010569","West Yorkshire","Bradford 016B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111000,115000,NA,NA,NA,NA,NA,134995,129995,NA,167495,184995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149250,NA,NA,154000,161000,NA,NA,NA,NA,NA,NA,NA,266000,NA,NA,NA,NA,NA
"E01010570","West Yorkshire","Bradford 018A",101000,109500,NA,123055,140000,119995,120000,97495,NA,NA,NA,NA,NA,320000,NA,NA,NA,NA,NA,NA,NA,149950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298000,375000,NA,NA,NA,NA,NA,642000,155000,NA,NA,295000,NA,425000,NA,5e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+05,NA,150000,NA,NA,NA,NA,230000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e+05,NA,NA,NA,NA,486225,477000,439950,390000,NA,435000,NA,NA,NA,NA,NA,NA
"E01010571","West Yorkshire","Bradford 016C",41000,38950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98950,97000,96950,NA,91000,78500,81987.5,NA,105950,85000,NA,NA,NA,97500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98000,122500,NA,NA,NA,135000,150000,145000,140000,113400,219975,169975,170000,1e+05,87500,NA,83250,87500,69950,67500,128750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191000,159250,174975,178725,182500,171000,NA,155000,NA,210000,250000,NA,174950,170000,150000,166250,164750
"E01010572","West Yorkshire","Bradford 016D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010573","West Yorkshire","Bradford 013A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177500,NA,NA,NA,NA,360000,NA,169500,426999,475000,NA,499999,NA,NA,NA,NA,NA,324950,NA,324995,277495,291497.5,399995,329995,375000,NA,NA,NA,NA,NA,NA,NA,NA,406247.5,333997.5,319995,313995,338245,NA,329995,177495,91841,339995,313000,269995,284995,250000,344497.5,332500,406843.5,379995,355000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010574","West Yorkshire","Bradford 013B",NA,99000,NA,NA,NA,175000,145500,87000,123375,64750,158000,NA,NA,NA,NA,NA,NA,NA,NA,220000,210000,197000,202000,225000,NA,99500,NA,164000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115000,NA,NA,110000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010575","West Yorkshire","Bradford 013C",NA,NA,NA,NA,NA,118995,135995,117497.5,84950,127495,110000,124995,134995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25200,NA,NA,138500,185249.5,195999,165000,131999,249999,244974.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249950,NA,NA,NA,185000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178000,189950,NA,164000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010576","West Yorkshire","Bradford 016E",99850,65500,180000,125375,NA,122500,127500,127500,132000,138000,133750,144000,NA,NA,127000,NA,NA,NA,NA,95000,95000,96000,NA,NA,NA,225000,NA,NA,NA,144995,154500,145497.5,237999,355000,NA,NA,NA,NA,NA,NA,NA,375000,NA,NA,NA,NA,NA,NA,NA,399995,432500,NA,440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010577","West Yorkshire","Bradford 013D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97500,NA,NA,NA,NA,NA,NA,NA,NA,NA,120000,NA,NA,315000,NA,NA,292000,NA,NA,NA,NA,275000,3e+05,NA,NA,NA,NA,NA,NA,NA,198000,154950,139950,199950,175000,172000,NA,NA,NA,NA,NA,NA,79950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010578","West Yorkshire","Bradford 015A",NA,37000,NA,NA,NA,NA,NA,NA,49950,93000,68750,65000,NA,75375,82750,65000,NA,124950,135000,135000,74000,76000,104000,123000,NA,75000,139865,NA,NA,NA,135000,172250,79500,84500,NA,NA,119000,NA,NA,NA,NA,NA,NA,NA,NA,NA,95250,147000,179995,177995,176870,NA,NA,NA,170000,NA,NA,NA,NA,NA,NA,72250,81000,76000,69000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010579","West Yorkshire","Bradford 010A",NA,NA,NA,NA,48500,NA,225000,NA,169500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E01010580","West Yorkshire","Bradford 010B",NA,162475,61247.5,67000,47745,46245,66995,NA,NA,66497.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122500,141247.5,144495,153500,147995,157000,163250,163997.5,186995,181500,118000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152495,164995,282500,210995,181472.5,187500,179995,176995,161452,152499.5,197950,249950,249995,220000,102950,90000,102950,NA,150000,NA,NA,127000,NA,NA,NA,NA,670000,NA,145975,NA,NA,134950,97500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,75000,75000,75000,NA,NA,NA,NA
