"lsoa11cd","CAUTH18NM","lsoa11nm","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"E01010568","West Yorkshire","Bradford 016A",1,2,4,1,3,6,6,6,1,2,2,6,NA,3,5,1,4,3,2,6,5,5,1,4,2,5,5,2,1,7,4,3,2,1,5,7,4,9,9,NA,1,1,3,4,1,3,4,8,3,7,7,3,1,NA,1,1,1,1,NA,4,2,NA,NA,2,NA,2,1,2,1,1,2,NA,2,3,2,3,1,2,3,5,NA,1,3,2,3,3,NA,3,2,4,3,3,4,2,2,2
"E01010569","West Yorkshire","Bradford 016B",NA,1,2,1,1,2,2,2,2,6,6,5,2,6,6,6,2,3,4,7,4,5,3,5,3,6,3,9,5,8,4,6,2,3,8,4,8,8,3,3,5,9,3,2,NA,5,5,15,5,2,8,2,2,4,1,2,1,4,2,NA,NA,4,4,3,2,3,NA,2,2,1,NA,5,2,2,1,2,5,6,2,7,NA,NA,5,7,2,3,10,8,5,5,3,1,4,2,5,3
"E01010570","West Yorkshire","Bradford 018A",2,NA,NA,2,1,1,NA,1,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,1,1,2,NA,1,1,NA,1,1,2,2,NA,NA,NA,NA,2,2,NA,NA,NA,1,1,2,NA,2,1,NA,2,NA,NA,1,NA,1,NA,1,NA,NA,3,1,NA,NA,NA,NA,1,2,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,1,NA,NA,NA,2,3,NA,1,NA,1,1
"E01010571","West Yorkshire","Bradford 016C",2,3,4,NA,3,7,2,2,2,5,6,1,2,8,4,6,6,7,3,4,11,4,5,11,3,6,2,4,5,6,5,7,8,7,4,2,8,7,4,4,1,2,3,4,8,6,11,6,3,3,8,2,3,4,NA,2,NA,NA,3,2,1,6,1,4,1,2,7,4,2,2,5,2,5,4,3,1,2,5,4,7,8,5,8,8,6,3,NA,3,5,7,6,4,4,4,5,4
"E01010572","West Yorkshire","Bradford 016D",5,4,2,5,9,8,9,9,5,10,7,6,7,13,5,7,4,10,6,5,7,7,7,8,3,9,7,12,5,12,18,13,7,8,8,7,6,9,7,4,2,6,6,10,6,7,12,14,6,7,6,5,4,2,3,4,3,4,5,9,4,3,4,9,6,9,5,4,2,2,NA,3,4,2,11,6,7,8,6,14,12,4,6,7,6,5,10,7,7,8,12,7,8,3,6,9
"E01010573","West Yorkshire","Bradford 013A",4,2,2,2,2,3,7,3,1,8,3,6,NA,2,4,3,3,3,8,4,3,3,4,3,1,1,5,1,5,6,5,5,6,6,6,7,6,2,2,1,1,3,5,2,1,5,2,2,2,3,6,NA,3,1,1,1,NA,2,1,4,2,2,2,NA,1,1,3,2,2,3,NA,3,3,3,2,NA,3,3,4,2,1,4,6,3,2,3,5,2,NA,2,5,4,2,1,5,1
"E01010574","West Yorkshire","Bradford 013B",NA,2,2,5,2,3,1,3,2,5,5,3,2,4,4,2,1,3,2,2,2,2,2,2,1,3,2,1,NA,5,4,3,3,3,1,3,1,1,5,4,1,NA,NA,5,3,1,NA,7,2,3,2,1,NA,3,1,NA,NA,2,2,NA,3,1,NA,3,1,1,NA,1,NA,1,1,1,1,4,2,NA,4,3,3,6,2,1,2,3,2,4,2,2,3,NA,5,1,2,4,2,4
"E01010575","West Yorkshire","Bradford 013C",7,1,2,1,2,5,2,2,4,10,4,4,5,6,10,5,2,3,8,7,6,5,2,6,4,4,3,6,4,8,7,4,1,8,5,4,8,6,7,7,NA,2,2,4,2,9,7,6,4,8,7,5,1,1,2,2,2,3,3,4,1,1,NA,6,2,5,3,1,3,2,NA,6,4,2,7,9,6,6,5,2,3,3,4,3,6,2,8,5,1,3,2,2,2,3,5,6
"E01010576","West Yorkshire","Bradford 016E",1,6,NA,4,3,3,1,3,1,4,3,2,2,1,4,4,2,1,2,4,2,4,6,3,2,3,2,1,5,5,12,6,1,4,7,6,4,2,3,1,NA,5,4,1,2,6,1,4,2,1,4,1,2,1,2,NA,1,NA,2,1,1,2,2,3,2,2,2,2,2,2,5,3,1,2,3,3,2,4,1,3,2,1,2,3,1,1,5,6,2,2,2,6,NA,5,2,3
"E01010577","West Yorkshire","Bradford 013D",3,6,1,1,3,5,3,7,3,3,2,2,5,8,6,6,1,5,7,5,5,9,6,3,5,7,5,8,5,4,5,3,11,2,3,6,3,4,3,3,NA,8,4,3,5,4,9,4,5,3,7,7,2,1,2,2,1,2,5,2,NA,2,4,2,1,3,6,2,1,2,NA,4,1,2,9,7,4,5,9,6,2,2,3,6,1,3,4,9,2,4,4,6,4,2,4,5
"E01010578","West Yorkshire","Bradford 015A",2,2,1,1,4,1,3,NA,2,4,8,NA,2,2,3,NA,2,3,1,4,5,3,6,2,NA,3,1,5,3,2,1,2,2,4,2,4,1,3,3,1,1,1,3,5,1,4,2,1,1,2,NA,NA,3,NA,NA,1,NA,2,2,1,2,1,1,3,1,2,2,2,NA,NA,1,2,NA,NA,1,1,NA,2,1,2,NA,NA,1,NA,1,NA,4,2,1,1,NA,NA,5,1,1,3
