"lsoa11cd","CAUTH18NM","lsoa11nm","count_95Q1","count_95Q2","count_95Q3","count_95Q4","count_96Q1","count_96Q2","count_96Q3","count_96Q4","count_97Q1","count_97Q2","count_97Q3","count_97Q4","count_98Q1","count_98Q2","count_98Q3","count_98Q4","count_99Q1","count_99Q2","count_99Q3","count_99Q4","count_00Q1","count_00Q2","count_00Q3","count_00Q4","count_01Q1","count_01Q2","count_01Q3","count_01Q4","count_02Q1","count_02Q2","count_02Q3","count_02Q4","count_03Q1","count_03Q2","count_03Q3","count_03Q4","count_04Q1","count_04Q2","count_04Q3","count_04Q4","count_05Q1","count_05Q2","count_05Q3","count_05Q4","count_06Q1","count_06Q2","count_06Q3","count_06Q4","count_07Q1","count_07Q2","count_07Q3","count_07Q4","count_08Q1","count_08Q2","count_08Q3","count_08Q4","count_09Q1","count_09Q2","count_09Q3","count_09Q4","count_10Q1","count_10Q2","count_10Q3","count_10Q4","count_11Q1","count_11Q2","count_11Q3","count_11Q4","count_12Q1","count_12Q2","count_12Q3","count_12Q4","count_13Q1","count_13Q2","count_13Q3","count_13Q4","count_14Q1","count_14Q2","count_14Q3","count_14Q4","count_15Q1","count_15Q2","count_15Q3","count_15Q4","count_16Q1","count_16Q2","count_16Q3","count_16Q4","count_17Q1","count_17Q2","count_17Q3","count_17Q4","count_18Q1","count_18Q2","count_18Q3","count_18Q4"
"E01010568","West Yorkshire","Bradford 016A",6,6,13,3,5,14,11,13,5,13,8,12,5,7,12,7,8,8,13,14,12,11,9,12,7,10,12,7,7,11,12,17,7,10,16,15,9,21,37,3,3,6,12,10,5,11,16,17,11,16,13,11,5,5,4,4,8,5,1,7,9,1,4,6,2,7,9,6,5,4,7,3,7,7,7,8,7,7,7,12,2,9,8,11,16,10,8,13,8,10,13,4,12,7,8,6
"E01010569","West Yorkshire","Bradford 016B",2,1,3,2,3,3,3,3,4,6,7,6,2,11,10,8,3,6,5,7,9,8,4,7,8,8,3,20,10,13,5,14,6,8,15,9,10,19,10,4,7,15,6,6,5,9,9,23,10,9,10,4,5,8,3,3,2,8,3,3,2,6,7,5,3,5,2,4,2,1,6,8,4,5,5,5,6,9,6,8,4,7,9,12,4,3,12,10,8,10,12,5,6,7,9,5
"E01010570","West Yorkshire","Bradford 018A",13,11,7,9,6,10,7,7,2,8,6,5,3,7,7,6,3,8,7,7,4,12,4,7,8,9,12,6,5,8,11,11,6,3,13,10,8,7,2,8,1,5,6,5,2,8,8,9,8,12,5,5,2,4,3,4,2,4,6,7,1,2,5,5,3,5,7,10,3,5,5,3,2,2,4,3,10,6,8,8,4,10,8,5,9,7,10,7,2,8,13,5,5,5,11,6
"E01010571","West Yorkshire","Bradford 016C",4,10,7,1,6,10,11,2,9,13,14,2,8,15,7,12,8,10,12,7,16,11,15,21,5,8,11,12,7,12,14,16,12,14,14,12,14,14,16,10,3,5,6,9,13,13,18,13,9,14,17,8,18,16,4,10,3,7,16,8,3,13,7,13,5,4,10,5,8,2,7,4,6,5,4,8,8,13,14,13,11,10,16,18,16,6,2,10,10,16,10,8,7,8,10,9
"E01010572","West Yorkshire","Bradford 016D",5,4,2,5,11,8,9,9,5,12,7,11,8,14,5,8,6,11,8,5,8,8,8,8,4,10,7,12,6,14,19,14,7,9,8,7,7,9,8,5,3,6,6,10,6,9,12,14,8,7,8,6,4,3,3,4,3,4,5,11,4,4,4,10,6,9,5,4,2,2,1,3,5,4,12,7,7,9,6,15,12,5,8,7,6,5,13,8,8,9,13,9,8,4,6,10
"E01010573","West Yorkshire","Bradford 013A",4,2,5,4,3,4,8,6,2,14,6,12,NA,4,8,7,6,10,8,11,4,7,9,6,4,4,7,5,7,11,9,20,8,12,10,12,12,8,6,3,5,9,8,6,5,11,6,11,4,10,10,4,4,3,2,2,2,3,1,11,6,8,4,6,1,10,6,10,5,8,7,11,5,9,6,14,10,9,6,5,3,10,11,8,6,8,9,5,2,3,11,10,6,6,13,9
"E01010574","West Yorkshire","Bradford 013B",1,6,3,8,4,7,6,13,11,15,17,8,3,9,6,4,9,12,9,14,10,14,10,10,5,9,6,11,4,12,10,12,6,10,9,9,2,14,13,6,3,6,3,12,10,7,5,16,6,9,7,5,2,5,3,6,1,8,4,1,3,4,4,8,3,3,4,2,1,3,1,2,3,13,3,3,7,9,7,10,5,5,8,9,6,12,6,6,7,5,6,4,6,7,9,9
"E01010575","West Yorkshire","Bradford 013C",9,2,4,6,3,9,10,12,10,18,11,15,9,9,13,9,4,6,9,9,11,9,4,8,6,7,4,7,10,11,10,6,4,15,15,18,14,9,10,13,5,7,5,7,5,17,12,11,6,16,12,11,3,1,3,4,5,5,5,11,2,6,3,9,2,7,5,4,5,5,3,10,6,3,12,13,8,16,11,7,7,7,8,10,10,9,13,11,3,8,3,11,3,4,14,12
"E01010576","West Yorkshire","Bradford 016E",6,13,2,11,8,13,11,21,5,14,14,10,7,5,14,13,5,2,10,15,11,16,10,11,4,10,7,5,11,23,30,13,6,8,14,19,7,12,10,5,4,14,9,4,9,19,6,8,5,11,9,6,4,7,5,NA,2,6,6,4,4,4,8,6,3,5,4,4,2,6,8,5,2,4,8,9,4,8,9,7,6,8,8,9,9,5,9,17,8,10,5,9,2,6,9,5
"E01010577","West Yorkshire","Bradford 013D",6,6,2,3,5,10,8,9,6,6,7,8,6,12,11,9,3,10,11,8,9,12,7,11,11,10,10,9,11,12,11,7,15,6,8,10,8,6,11,6,1,14,9,8,8,15,13,9,15,4,12,7,3,2,4,4,3,4,8,4,3,2,5,6,2,4,9,4,2,3,2,6,2,6,12,7,5,10,13,8,3,6,7,7,6,7,10,11,3,12,11,10,8,2,5,7
